method,classifier,is_best_for_method,auc_mean,auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
brainiac,svm_linear,True,0.7496296296296296,0.045950560895806604,0.6901851851851852,0.029525279210921157,0.6339231871510881,0.03809862282722379,0.61,0.08944271909999156,0.7703703703703704,0.09586799337440588
brainiac,logreg,False,0.7492592592592593,0.044706020376315284,0.6866666666666668,0.050433647618146074,0.6375706980358143,0.06020604984345394,0.64,0.11401754250991382,0.7333333333333333,0.10605793380204705
brainiac,random_forest,False,0.72,0.07656293304236313,0.6583333333333333,0.07276623223847593,0.6192332758290205,0.0733117239713685,0.6500000000000001,0.1,0.6666666666666667,0.11415581486979585
brainiac,lightgbm,False,0.7103703703703703,0.0497869259671303,0.6357407407407407,0.039314252189760104,0.5848332060096766,0.028029426672425174,0.5900000000000001,0.05477225575051661,0.6814814814814815,0.10986960721623204
brainiac,svm_rbf,False,0.7061111111111111,0.06228392002837898,0.6553703703703704,0.05895974656218969,0.5931543670231283,0.0626600526499149,0.57,0.1036822067666386,0.7407407407407407,0.15930231976004863
brainiac,xgboost,False,0.6988888888888889,0.05674045063265937,0.6244444444444445,0.04375232700062731,0.5659129217665804,0.04689963453440499,0.5599999999999999,0.05477225575051661,0.6888888888888889,0.07219847662821453
radiomics,svm_rbf,True,0.7475925925925926,0.011777836011968761,0.6301851851851852,0.04675054924378253,0.5151983406792844,0.14101735976306948,0.49000000000000005,0.2631539473388153,0.7703703703703704,0.18219813149998296
radiomics,svm_linear,False,0.7425925925925927,0.017470335429734425,0.6651851851851852,0.07166391515437716,0.5776797612492497,0.12882139857948727,0.56,0.24849547279578355,0.7703703703703704,0.13708707795053152
radiomics,lightgbm,False,0.7372222222222221,0.05239628202812077,0.6446296296296296,0.076427880060094,0.5958457563108726,0.10096852257172248,0.6300000000000001,0.17888543819998318,0.6592592592592592,0.12936480886350357
radiomics,logreg,False,0.7359259259259259,0.024059824842832166,0.6777777777777778,0.050677001057817084,0.6060901662762128,0.10184347759813571,0.6,0.22079402165819617,0.7555555555555556,0.1375864860815312
radiomics,random_forest,False,0.7316666666666667,0.018499990731469865,0.662037037037037,0.03997062535953586,0.6155766775429139,0.061586126452284076,0.6499999999999999,0.16955824957813168,0.674074074074074,0.12115131284293429
radiomics,xgboost,False,0.7307407407407407,0.04602885717384002,0.6418518518518519,0.05279158363939282,0.5802923976608187,0.07891259793112669,0.58,0.14404860290887936,0.7037037037037036,0.09442628728875527
volumetry,logreg,True,0.7844444444444445,0.03899016794217645,0.6888888888888889,0.0477054074344941,0.6248309448724602,0.07328960470821004,0.6,0.1620185174601965,0.7777777777777778,0.14103283529377614
volumetry,svm_linear,False,0.78,0.04337841909058416,0.6888888888888889,0.0477054074344941,0.6248309448724602,0.07328960470821004,0.6,0.1620185174601965,0.7777777777777778,0.14103283529377614
volumetry,svm_rbf,False,0.7485185185185185,0.04727484359321231,0.6716666666666666,0.04511739754288274,0.6132357723577236,0.0730558809566289,0.61,0.16355427233796124,0.7333333333333334,0.16016109859584932
volumetry,lightgbm,False,0.722962962962963,0.10575517187637123,0.6368518518518519,0.08116362666584588,0.5815733764083836,0.07467870727675406,0.57,0.11510864433221339,0.7037037037037037,0.21114359724058113
volumetry,random_forest,False,0.7061111111111111,0.0998167903329551,0.6357407407407407,0.08573344101395483,0.5848652639350315,0.09052863576441357,0.59,0.1193733638631332,0.6814814814814815,0.18993898377715682
volumetry,xgboost,False,0.7001851851851851,0.10735630968453105,0.6457407407407407,0.08104523369068693,0.59503367003367,0.09813401116632624,0.61,0.1710263137648707,0.6814814814814814,0.23801880019347593
